1744445336079 ::1 GET / /
1744445352206 ::1 GET /user/html /user/html
1744445352262 ::1 GET /favicon.ico /favicon.ico
1744445390281 ::1 GET /user /user
1744445392506 ::1 GET /user/ /user/
1744445415447 ::1 GET /user/67f9f280f615fbbe6b664140 /user/67f9f280f615fbbe6b664140
1744445509444 ::1 POST /user/ /user/
1744445512993 ::1 GET /user/ /user/
1744445547445 ::1 PATCH /user/67f9f2b9f615fbbe6b664143 /user/67f9f2b9f615fbbe6b664143
1744445550666 ::1 GET /user/ /user/
1744445594301 ::1 PATCH /user/67fa2045484760cbb764f515 /user/67fa2045484760cbb764f515
1744445597679 ::1 GET /user/ /user/
1744445613182 ::1 DELETE /user/67fa2045484760cbb764f515 /user/67fa2045484760cbb764f515
1744445616432 ::1 GET /user/ /user/
1744445741648 ::1 GET /user/ /user/
1744445842841 ::1 GET /api/user/ /api/user/
1744445852902 ::1 GET /api/user/67f9f280f615fbbe6b664140 /api/user/67f9f280f615fbbe6b664140
1744446577371 ::1 GET /api/users/ /api/users/
1744446582559 ::1 GET /api/users/67f9f280f615fbbe6b664140 /api/users/67f9f280f615fbbe6b664140
